Date,Open,High,Low,Close,Adj Close,Volume
2021-04-20,18.033333,18.126665,17.843332,17.906666,17.906666,31135500
2021-04-22,17.983334,18.166666,17.783333,17.783333,17.783333,32290500
2021-04-23,17.900000,18.280001,17.843332,17.906666,17.906666,28130700
2021-04-26,17.943333,17.959999,17.466665,17.670000,17.670000,45154200
2021-04-27,17.703333,17.809999,17.513332,17.650000,17.650000,55519800
2021-04-28,17.693333,17.910000,17.590000,17.866667,17.866667,30664500
2021-04-29,17.900000,17.959999,17.450001,17.516666,17.516666,29604900
2021-04-30,17.453333,17.590000,17.133333,17.166666,17.166666,60168900
2021-05-03,17.336666,17.459999,17.100000,17.163334,17.163334,36406500
2021-05-04,17.183332,17.236666,16.783333,16.889999,16.889999,29767500
2021-05-05,16.933332,17.273333,16.876665,17.166666,17.166666,27540900
2021-05-06,17.166666,17.180000,16.706667,16.933332,16.933332,67174800
2021-05-07,17.150000,17.853333,17.136665,17.780001,17.780001,61329300
2021-05-10,17.606667,17.860001,17.483334,17.766666,17.766666,32760900
2021-05-11,17.436666,17.639999,17.386665,17.616667,17.616667,45020700
2021-05-12,17.336666,17.506666,17.106667,17.166666,17.166666,35110200
2021-05-13,17.286667,17.566666,17.200001,17.250000,17.250000,44502600
2021-05-14,17.563334,18.020000,17.403334,17.850000,17.850000,40553100
2021-05-17,18.000000,18.000000,17.469999,17.580000,17.580000,23611000
2021-05-18,17.570000,17.700001,17.299999,17.299999,17.299999,21302600
2021-05-19,17.150000,17.400000,17.080000,17.219999,17.219999,24697100
2021-05-20,17.290001,17.360001,17.139999,17.250000,17.250000,21881900
2021-05-21,17.340000,17.400000,16.959999,17.350000,17.350000,32135000
2021-05-24,17.350000,17.530001,17.219999,17.450001,17.450001,27524300
2021-05-25,17.480000,17.600000,16.820000,17.000000,17.000000,61202200
2021-05-26,17.180000,17.330000,16.980000,17.100000,17.100000,24114500
2021-05-27,17.170000,17.180000,16.790001,16.980000,16.980000,67051000
2021-05-28,16.959999,17.480000,16.920000,17.480000,17.480000,33933600
2021-05-31,17.360001,17.629999,17.299999,17.540001,17.540001,22514500
2021-06-01,17.700001,17.959999,17.549999,17.700001,17.700001,53503800
2021-06-02,17.240000,17.290001,16.620001,17.010000,17.010000,133297700
2021-06-04,17.010000,17.389999,17.000000,17.240000,17.240000,48800900
2021-06-07,17.200001,17.299999,17.030001,17.290001,17.290001,29900700
2021-06-08,17.170000,17.230000,16.280001,16.330000,16.330000,88534700
2021-06-09,16.400000,16.450001,15.810000,16.400000,16.400000,111958600
2021-06-10,16.450001,16.530001,15.710000,16.000000,16.000000,105103200
2021-06-11,16.080000,16.250000,15.820000,16.129999,16.129999,66713700
2021-06-14,16.240000,16.450001,16.170000,16.320000,16.320000,49076200
2021-06-15,16.379999,16.760000,16.280001,16.670000,16.670000,67472700
2021-06-16,16.670000,17.250000,16.650000,16.910000,16.910000,108820900
2021-06-17,17.059999,17.170000,16.889999,17.170000,17.170000,54573400
2021-06-18,17.120001,17.400000,17.070000,17.379999,17.379999,66759800
